product_name,country,category,subcategory,price,brand,form,type,size,rating,noofratings
Unicorn Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,2.9,33
Iron Man Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,,
Mermaid Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,3.7,7
Bath Fizzers Flower Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,4.5,2
Bikini Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,,
"""F"" Bath Bomb",USA,body,bodywash,653.6,Da Bomb,cream,all,210,4.2,35
Mandalorian The Child Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,5,2
Beach Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,5,1
Spider-Man Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,,
Barbie Pink Swirl Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,5,2
Beauty Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,3.6,39
Hot Wheels Blue Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,2.5,30
Tie Dye Blue Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,3.6,5
Tie Dye Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,3.2,10
Surfer Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,,
Fairy Bath Bomb,USA,body,bodywash,653.6,Da Bomb,cream,all,210,3.3,9
Daily Leaves Of Life Foot Silicone Scrubber,USA,body,bodywash,1634,Daily Concepts,cream,all,0,4,1
Conditioning Body Wash Eucalyptus + Lavender,USA,body,bodywash,2777.8,Dermalogica,cream,all,300,4.4,294
Invisible Physical Defense Sunscreen SPF 30,USA,body,sunscreen,3922.08,Dermalogica,cream,"combination, dry, normal, oily",51,4.4,344
Oil Free Matte Broad Spectrum SPF 30,USA,body,sunscreen,4739.18,Dermalogica,cream,"combinational,normal",51,4.4,190
Oil Absorbing Moisturizer SPF 30,USA,body,sunscreen,1306.54,Differin,cream,combinational,120,4.3,305
Milk & Honey Goat Milk Bar Soap,USA,body,bodywash,735.3,Dionis,cream,all,180,5,1
Sea Treasures Goat Milk Bar Soap,USA,body,bodywash,735.3,Dionis,cream,all,180,,
Lavender Blossom Goat Milk Bar Soap,USA,body,bodywash,735.3,Dionis,cream,all,180,4,2
Vanilla Bean Goat Milk Bar Soap,USA,body,bodywash,735.3,Dionis,cream,all,180,3,1
Fresh & Floral Goat Milk Bar Soap Set,USA,body,bodywash,2042.5,Dionis,cream,all,540,,
Warm & Sweet Goat Milk Bar Soap Set,USA,body,bodywash,2042.5,Dionis,cream,all,540,5,1
Restore & Replenish Pink Himalayan Sea Salt Scrub,USA,body,bodywash,611.93,Dr Teal's,cream,all,480,4.7,99
Glow & Radiance Salt Scrub with Pure Epsom Salt & Citrus,USA,body,bodywash,611.93,Dr Teal's,cream,all,480,,
Body Wash with Prebiotic Lemon Balm and Essential Oil Blend,USA,body,bodywash,611.93,Dr Teal's,cream,all,720,5,3
Glow & Radiance Foaming Bath,USA,body,bodywash,611.93,Dr Teal's,cream,all,1020,4.8,26
Lavender Foaming Bath,USA,body,bodywash,611.93,Dr Teal's,cream,all,1020,4.8,735
Eucalyptus and Spearmint Foaming Bath,USA,body,bodywash,611.93,Dr Teal's,cream,all,1020,4.7,91
Sleep Bath Foaming Bath,USA,body,bodywash,611.93,Dr Teal's,cream,all,1020,4.9,40
Cannabis Sativa Hemp Seed Oil Foaming Bath,USA,body,bodywash,611.93,Dr Teal's,cream,all,1020,4.8,43
Foaming Bath with Prebiotic Lemon Balm and Essential Oil Blend,USA,body,bodywash,611.93,Dr Teal's,cream,all,1020,,
Foaming Bath with Pure Epsom Salt Menstrual Relief with Herbal Plant Complex,USA,body,bodywash,611.93,Dr Teal's,cream,all,1020,4.9,31
"Foaming Bath with Pure Epsom Salt, Refresh & Revitalize with Superfood",USA,body,bodywash,611.93,Dr Teal's,cream,all,1020,4.9,51
Foaming Bath with Pomegranate Oil & Black Currant,USA,body,bodywash,611.93,Dr Teal's,cream,all,1020,,
"Foaming Bath with Pure Epsom Salt, Calm & Serenity with Rose Essential Oil",USA,body,bodywash,611.93,Dr Teal's,cream,all,1020,4.6,9
Glow & Radiance Pure Epsom Salt,USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,4.9,32
"Pure Epsom Salt Soak, Prebiotic Lemon Balm with Essential Oil Blend",USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,5,2
Pink Himalayan Mineral Soak,USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,4.8,69
Cannabis Sativa Hemp Seed Oil Pure Epsom Salt,USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,4.7,84
Melatonin Sleep Soak Pure Epsom Salt,USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,4.8,126
